Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uf 0402,C_0402_1005Metric,365.235,-45.65125,0.0,bottom
C2,22pf 0402,C_0402_1005Metric,368.43,-70.13,90.0,bottom
C3,1uf 0402,C_0402_1005Metric,363.475,-55.15,90.0,bottom
C4,10uf 0402,C_0402_1005Metric,371.035,-45.17625,90.0,bottom
C5,100nf 0402,C_0402_1005Metric,367.56,-52.09,90.0,bottom
C6,100nf 0402,C_0402_1005Metric,363.425,-66.3,315.0,bottom
C7,100nf 0402,C_0402_1005Metric,366.5,-53.88,135.0,bottom
C8,100nf 0402,C_0402_1005Metric,364.675,-66.475,315.0,bottom
C9,0.1uf,C_0805_2012Metric,360.3,-36.825,0.0,bottom
C10,2.2uF 0402,C_0402_1005Metric,362.5,-55.25,90.0,bottom
C11,100nf 0402,C_0402_1005Metric,365.6,-53.33,135.0,bottom
C13,100nf 0402,C_0402_1005Metric,358.789411,-62.223089,315.0,bottom
C14,100nf 0402,C_0402_1005Metric,371.889411,-62.251911,225.0,bottom
C15,100nf 0402,C_0402_1005Metric,370.45,-57.175,180.0,bottom
C16,100nf 0402,C_0402_1005Metric,360.3,-57.45,0.0,bottom
C18,100nf 0402,C_0402_1005Metric,360.05,-56.45,0.0,bottom
C19,22pf 0402,C_0402_1005Metric,363.17,-70.49,90.0,bottom
C102,2.2uF 0402,C_0402_1005Metric,361.525,-55.25,90.0,bottom
CBP1,10uf 0402,C_0402_1005Metric,369.91,-42.47625,0.0,bottom
D0,D,D_SOD-123F,128.875,-45.825,90.0,bottom
D1,D,D_SOD-123F,147.875,-45.875,90.0,bottom
D2,D,D_SOD-123F,166.975,-45.875,90.0,bottom
D3,D,D_SOD-123F,185.975,-45.875,90.0,bottom
D4,D,D_SOD-123F,205.075,-45.8,90.0,bottom
D5,D,D_SOD-123F,224.075,-45.875,90.0,bottom
D6,D,D_SOD-123F,243.175,-45.875,90.0,bottom
D7,D,D_SOD-123F,262.175,-45.875,90.0,bottom
