Designator,Mid X,Mid Y,Rotation,Layer
D0,66.27055,-80.044898,285.0,bottom
D1,85.060002,-83.52526,285.0,bottom
D10,298.974089,-88.52923,255.0,bottom
D11,317.76354,-85.048865,255.0,bottom
D16,61.288732,-98.540746,285.0,bottom
D17,78.83306,-106.157411,285.0,bottom
D18,99.277364,-103.996838,285.0,bottom
D19,118.063273,-107.465893,285.0,bottom
D2,104.01385,-85.435256,285.0,bottom
D20,136.079067,-113.882666,285.0,bottom
D21,152.876214,-124.289006,285.0,bottom
D22,230.2447,-125.18689,255.0,bottom
D23,248.986591,-123.099423,255.0,bottom
D24,266.0094,-112.461389,255.0,bottom
D25,284.807568,-108.989047,255.0,bottom
D26,303.994492,-107.016595,255.0,bottom
D27,323.703062,-107.530897,255.0,bottom
D3,123.011459,-89.095624,285.0,bottom
D32_3,35.50632,-121.27957,285.0,bottom
D32_2,165.150223,-152.85996,285.0,bottom
D32,56.112887,-116.875891,285.0,bottom
D33,75.147672,-120.421983,285.0,bottom
D34,94.346865,-122.397729,285.0,bottom
D35,113.13277,-125.866777,285.0,bottom
D36,131.148644,-132.258728,285.0,bottom
D37,149.155089,-138.6613,285.0,bottom
D38,234.951943,-143.625214,255.0,bottom
D39,252.9363,-137.250943,255.0,bottom
D4,141.027319,-95.48757,285.0,bottom
D40,270.939894,-130.862275,255.0,bottom
D41,289.73808,-127.389932,255.0,bottom
D42,308.924997,-125.417486,255.0,bottom
D43,327.71445,-121.937129,255.0,bottom
D44_2,219.007003,-157.778138,255.0,bottom
D44,348.651555,-126.229087,255.0,bottom
D48,51.413072,-135.325129,285.0,bottom
D49,70.202189,-138.80674,285.0,bottom
D5,159.033768,-101.890149,285.0,bottom
D50,89.386006,-140.815317,285.0,bottom
D51,108.20226,-144.267659,285.0,bottom
D52,126.218136,-150.659625,285.0,bottom
D53,144.22459,-157.062189,285.0,bottom
D54,239.882445,-162.026099,255.0,bottom
D55,257.888885,-155.62353,255.0,bottom
D56,275.870411,-149.263158,255.0,bottom
D57,294.668584,-145.790818,255.0,bottom
D58,313.855494,-143.818376,255.0,bottom
D59,332.399596,-140.403749,255.0,bottom
D6,225.027508,-106.753276,255.0,bottom
D64,64.207413,-161.276138,285.0,bottom
D65,84.492069,-159.176306,285.0,bottom
D66,103.287406,-162.634745,285.0,bottom
D67,121.293846,-169.037315,285.0,bottom
D68,138.042879,-179.45458,285.0,bottom
D69_3,161.103762,-181.850314,300.0,bottom
D69_2,180.613768,-193.698075,315.0,bottom
D69,198.783761,-160.118074,270.0,bottom
D7,242.985393,-100.362679,255.0,bottom
D70_2,224.843759,-191.376343,240.0,bottom
D70,208.235844,-207.230153,225.0,bottom
D71,244.829936,-180.454767,255.0,bottom
D72,263.752219,-178.205497,255.0,bottom
D73,280.803751,-167.650143,255.0,bottom
D74,299.596797,-164.16375,255.0,bottom
D75,318.788846,-162.205355,255.0,bottom
D8,260.743649,-94.039757,255.0,bottom
D9,279.787165,-90.501671,255.0,bottom
RESET,201.144505,-124.576049,270.0,bottom
RotEnc,201.253757,-174.908074,90.0,top
TH3_10,171.224244,-174.245143,0.0,top
TH3_9,140.833493,-169.725437,0.0,top
TH3_8,155.637944,-114.474473,0.0,top
TH3_7,81.264407,-97.626098,0.0,top
TH3_6,66.459958,-152.87705,0.0,top
TH3_5,336.032419,-152.949819,0.0,bottom
TH3_4,246.854428,-114.547247,0.0,bottom
TH3_3,321.227965,-97.698865,0.0,bottom
TH3_2,231.268129,-174.317916,0.0,bottom
TH3,261.658881,-169.798205,0.0,bottom
pico,201.237253,-124.683453,0.0,top
